 iter	year	species	age	number	catch
           1          28           1          19   462435.094       3898.81787    
           1          28           1          20   94863.1406       799.904175    
           1          29           1           0   30587104.0                  NaN
           1          29           1           1   48054152.0       90163.6562    
           1          29           1           2   117291192.       553767.062    
           1          29           1           3   25036366.0       177903.281    
           1          29           1           4   20310610.0       163709.922    
           1          29           1           5   17303666.0       162769.703    
           1          29           1           6   16195956.0       165982.312    
           1          29           1           7   9262182.00       102127.367    
           1          29           1           8   18772368.0       214237.438    
           1          29           1           9   3756918.00       44146.3047    
           1          29           1          10   2662245.00       32060.4160    
           1          29           1          11   2329970.75       27929.3047    
           1          29           1          12   1373774.38       16927.3750    
           1          29           1          13   840195.875       10349.9150    
           1          29           1          14   1835227.25       22715.2207    
           1          29           1          15   405149.938       5171.35498    
           1          29           1          16   312219.625       4011.11230    
           1          29           1          17   242709.641       3127.97266    
           1          29           1          18   176356.125       2275.36108    
           1          29           1          19   139939.141       1805.90344    
           1          29           1          20   333290.000       4301.99170    
           1          30           1           0   28666016.0                  NaN
           1          30           1           1   46239740.0       169563.922    
           1          30           1           2   37121996.0       294984.781    
           1          30           1           3   86746576.0       1036437.06    
           1          30           1           4   18045660.0       254551.812    
           1          30           1           5   14394836.0       229027.484    
           1          30           1           6   12071960.0       208061.766    
           1          30           1           7   11154688.0       207592.969    
           1          30           1           8   6330471.50       121994.289    
           1          30           1           9   12754927.0       253825.578    
           1          30           1          10   2542362.00       51566.8672    
           1          30           1          11   1799970.12       36450.1953    
           1          30           1          12   1569793.88       32629.0078    
           1          30           1          13   924368.688       19205.9805    
           1          30           1          14   564816.000       11818.5977    
           1          30           1          15   1228090.12       26460.2637    
           1          30           1          16   270338.500       5877.55664    
           1          30           1          17   208199.984       4536.02539    
           1          30           1          18   161797.375       3528.73975    
           1          30           1          19   117550.086       2564.77710    
           1          30           1          20   93273.8594       2035.31982    
           1           1           2           0   35828712.0       16534.0273    
           1           1           2           1   57753340.0       161627.500    
           1           1           2           2   48570860.0       373906.844    
           1           1           2           3   34615828.0       401671.688    
           1           1           2           4   26613438.0       335221.969    
           1           1           2           5   18192432.0       246564.828    
           1           1           2           6   12583153.0       170486.469    
           1           1           2           7   9804548.00       135114.234    
           1           1           2           8   7124619.50       99172.6875    
           1           1           2           9   4933792.50       69040.3594    
           1           1           2          10   3557646.00       49919.9648    
           1           1           2          11   2577188.50       36225.9492    
           1           1           2          12   1766484.88       24830.9121    
           1           1           2          13   1218282.75       17127.0078    
           1           1           2          14   939805.625       13224.1123    
           1           1           2          15   683190.438       9615.01758    
           1           1           2          16   513078.438       7221.41797    
           1           1           2          17   415430.312       5847.18994    
           1           1           2          18   258677.453       3640.89185    
           1           1           2          19   187333.406       2636.92847    
           1           1           2          20   131178.656       1846.46301    
           1           2           2           0   35716480.0       22842.3027    
